,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
12442,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12443,trm_557b49ad14adf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12452,trm_557b4acdee820,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12457,trm_557b4b27dfd5e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12463,trm_55ef1fd2bc418,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12465,trm_559f09a5cdca9,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12474,trm_55ef153d47bc0,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12476,trm_557b499fac085,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12482,trm_557b49206928b,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12483,trm_558c73f3c8c6f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12492,trm_557b48aeb7d58,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12502,trm_4a3fd79d0b61f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12503,trm_557b4817db34d,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12504,trm_567982752ff4a,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12509,trm_557b48d40d3cf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12512,trm_4a3fd79d0b64e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12515,trm_5678a999f1c19,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12529,trm_4c3e04d656f06,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12530,trm_557b47abe9a34,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12531,trm_557b471bc6cd8,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12535,trm_4a3fd79d0a17f,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12540,trm_557b4b05ae470,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.94
12574,trm_557b4a913f8cc,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.95
12575,trm_557b49ad14adf,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.95
12584,trm_557b4acdee820,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.95
12589,trm_557b4b27dfd5e,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.95
12595,trm_55ef1fd2bc418,1,1,90,0,1,0.989010989,0.9891304348,1,91,0.95
